ID ECAO	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type	URCH specific	hasNoOnto	Taxon	Pubmed references	Reference	Time for P. lividus at 18ÃƒÂ‚Ã‚Â°C	stage preceded by	subset				
ECAO:0000165	stage 3		cleavage period				The embryo is composed of 4 cells (4-cell stage).													NCBITaxon:7586				stage 2	ecao_developmental_stage				
ECAO:0000170	4-cell stage		stage 3				The embryo is composed of four cells and is surrounded by a fertilization envelope. The second cleavage division has taken place meridional and perpendicular to the first cleavage division. This has produced four blastomeres of equal size, all of which contain both animal and vegetal cytoplasm.	4c	UBERON:0007233												Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		2:30:00	2-cell stage	ecao_developmental_stage				
ECAO:0000175	stage 4		cleavage period				The embryo is composed of 8 cells (8-cell stage).													NCBITaxon:7586				stage 3	ecao_developmental_stage				
ECAO:0000180	8-cell stage		stage 4				The embryo is composed of eight cells and is surrounded by a fertilization envelope. The third cleavage division has taken place equatorial and perpendicular to the first two cleavage divisions.	8c	UBERON:0007236												Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		3:20:00	4-cell stage	ecao_developmental_stage				
ECAO:0000185	stage 5		cleavage period				The embryo is composed of 16 cells (16-cell stage).													NCBITaxon:7586				stage 4	ecao_developmental_stage				
ECAO:0000190	16-cell stage		stage 5				The embryo is composed of 16 cells and is surrounded by a fertilization envelope.	16c													Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		4:10:00	8-cell stage	ecao_developmental_stage				
ECAO:0000195	stage 6		cleavage period				The embryo is composed of 28-32 cells (includes 28- and 32-cell stages).													NCBITaxon:7586				stage 5	ecao_developmental_stage				
ECAO:0000200	28-cell stage		stage 6				The embryo is composed of 28 cells and is surrounded by a fertilization envelope. 	28c													Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		4:45:00	16-cell stage	ecao_developmental_stage				
ECAO:0000210	32-cell stage		stage 6				The embryo is composed of 32 cells and is surrounded by a fertilization envelope. 	32c													Formery et al., (in prep) Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ232. Berlin, Heidelberg: Springer Berlin Heidelberg. Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		5:00:00	28-cell stage	ecao_developmental_stage				
ECAO:0000215	stage 7		cleavage period				The embryo is composed of 56-64 cells (includes 56-, 60-, and 64-cell stages).													NCBITaxon:7586				stage 6	ecao_developmental_stage				
